ID,NAME,SURNAME,EMAIL,USER,GROUP,YEAR,ROOM,ABSENCES,MODULE,NOTES
1,Roger,Sobrino,rsobri@rsobri.cat,Student,DAW2,2023,A46,0,M07,8
2,Raúl,Rufo,rrufo@rrufo.cat,Student,DAW2,2023,A46,6,M07,6
3,Kevin,Sama,ksama@ksama.cat,Student,DAW2,2023,A46,1,M07,7
4,Andres,Carles,acarles@acarles.cat,Student,DAW2,2023,A46,0,M07,3
5,Ivan,Cozar,icozar@icozar.cat,Student,DAW2,2023,A46,14,M07,5
6,Xavier,Martorell,xmartorell@xmartorell.cat,Student,DAM2,2023,A41,25,M07,3
7,Samuel,Maseda,smaseda@smaseda.cat,Student,DAM2,2023,A41,2,M07,5
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Marta,Fernandez,mfernandez@mfernandez.cat,Student,DAM2,2023,A41,8,M07,8
10,Sara,Valle,svalle@svalle.cat,Student,DAM2,2023,A41,3,M07,6
11,Roger,Sobrino,rsobri@rsobri.cat,Student,DAW1,2022,A11,1,M03,9
12,Raúl,Rufo,rrufo@rrufo.cat,Student,DAW1,2022,A11,0,M03,5
13,Kevin,Sama,ksama@ksama.cat,Student,DAW1,2022,A11,3,M03,5
14,Andres,Carles,acarles@acarles.cat,Student,DAW1,2022,A11,10,M03,8
15,Ivan,Cozar,icozar@icozar.cat,Student,DAW1,2022,A11,20,M03,9
16,Xavier,Martorell,xmartorell@xmartorell.cat,Student,DAM1,2022,A12,10,M03,7
17,Samuel,Maseda,smaseda@smaseda.cat,Student,DAM1,2022,A12,4,M03,3
18,Marta,Fernandez,mfernandez@mfernandez.cat,Student,DAM1,2022,A12,1,M03,5
19,Sara,Valle,svalle@svalle.cat,Student,DAM1,2022,A12,1,M03,5
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Bruno,Alterio,balterio@balterio.cat,Student,DAW2,2023,A46,30,M07,9
22,Abril,Alterio,aalterio@aalterio.cat,Student,DAM2,2023,A41,20,M07,10
23,Bruno,Alterio,balterio@balterio.cat,Student,DAW1,2022,A11,2,M03,10
24,Abril,Alterio,aalterio@aalterio.cat,Student,DAM1,2022,A12,4,M03,10
25,Roger,Sobrino,rsobri@rsobri.cat,Student,DAW2,2023,A46,3,M08,6
26,Raúl,Rufo,rrufo@rrufo.cat,Student,DAW2,2023,A46,3,M08,7
27,Kevin,Sama,ksama@ksama.cat,Student,DAW2,2023,A46,0,M08,5
28,Andres,Carles,acarles@acarles.cat,Student,DAW2,2023,A46,30,M08,4
29,Ivan,Cozar,icozar@icozar.cat,Student,DAW2,2023,A46,6,M08,4
30,Xavier,Martorell,xmartorell@xmartorell.cat,Student,DAM2,2023,A41,7,M08,2
31,Samuel,Maseda,smaseda@smaseda.cat,Student,DAM2,2023,A41,3,M08,2
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,Marta,Fernandez,mfernandez@mfernandez.cat,Student,DAM2,2023,A41,15,M08,9
34,Sara,Valle,svalle@svalle.cat,Student,DAM2,2023,A41,10,M08,8
35,Roger,Sobrino,rsobri@rsobri.cat,Student,DAW1,2022,A11,12,M01,9
36,Raúl,Rufo,rrufo@rrufo.cat,Student,DAW1,2022,A11,13,M01,4
37,Kevin,Sama,ksama@ksama.cat,Student,DAW1,2022,A11,15,M01,5
38,Andres,Carles,acarles@acarles.cat,Student,DAW1,2022,A11,8,M01,7
39,Ivan,Cozar,icozar@icozar.cat,Student,DAW1,2022,A11,9,M01,7
40,Xavier,Martorell,xmartorell@xmartorell.cat,Student,DAM1,2022,A12,7,M01,6
41,Samuel,Maseda,smaseda@smaseda.cat,Student,DAM1,2022,A12,30,M01,4
42,Marta,Fernandez,mfernandez@mfernandez.cat,Student,DAM1,2022,A12,0,M01,7
43,Sara,Valle,svalle@svalle.cat,Student,DAM1,2022,A12,0,M01,7
44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,Bruno,Alterio,balterio@balterio.cat,Student,DAW1,2023,A46,2,M01,5
46,Abril,Alterio,aalterio@aalterio.cat,Student,DAM1,2023,A41,1,M01,5
47,Bruno,Alterio,balterio@balterio.cat,Student,DAW1,2022,A11,6,M01,8
48,Abril,Alterio,aalterio@aalterio.cat,Student,DAM1,2022,A12,12,M01,9
